ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
28,Delhi,Delhi,Dwarka,Apartment,4,1818,86.57,5015,2016,Semi-Furnished,5,7,9,8,5,2,Covered,No,CCTV,South,Owner,Immediate
29,Delhi,Delhi,Karol Bagh,Apartment,1,516,51.34,10324,2017,Unfurnished,1,4,8,1,1,2,Open,Yes,"Garden, Gym, Community Hall",East,Owner,3+ Months
30,Delhi,Delhi,Lajpat Nagar,Builder_Floor,2,861,102.71,11572,1999,Furnished,0,3,26,2,3,2,Open,Yes,"Clubhouse, CCTV",West,Owner,Immediate
31,Delhi,Delhi,Pitampura,Independent_House,4,2075,122.69,6571,1996,Unfurnished,1,2,29,6,3,3,Open,Yes,"Community Hall, Clubhouse, CCTV",North,Owner,2 Months
32,Delhi,Delhi,Pitampura,Apartment,5,2460,141.59,5850,2018,Unfurnished,8,11,7,1,0,3,Open,No,"Power Backup, Community Hall",East,Builder,2 Months
33,Delhi,Delhi,Janakpuri,Apartment,4,1648,95.77,6167,2005,Semi-Furnished,0,5,20,4,1,2,Covered,Yes,"Community Hall, Gym",South,Owner,Immediate
34,Delhi,Delhi,Rohini,Apartment,2,922,68.73,7993,2011,Unfurnished,3,3,14,3,3,1,Covered,No,"Pool, CCTV, Clubhouse, Community Hall",East,Owner,Immediate
35,Delhi,Delhi,Connaught Place,Apartment,4,1359,280.84,19419,2024,Unfurnished,1,4,1,2,0,1,Covered,Yes,"Lift, CCTV",South,Agent,3+ Months
36,Delhi,Delhi,Other,Independent_House,3,1170,69.05,6072,1991,Furnished,3,4,34,3,0,3,Covered,Yes,"Lift, Clubhouse",West,Owner,1 Month
37,Delhi,Delhi,Greater Kailash,Builder_Floor,4,1848,320.75,18316,2006,Unfurnished,3,3,19,1,4,2,Covered,No,"Clubhouse, Gym",North,Builder,3+ Months
38,Delhi,Delhi,Lajpat Nagar,Apartment,1,511,51.74,11018,1998,Semi-Furnished,0,4,27,5,1,3,Covered,Yes,"Lift, Garden",North,Builder,Immediate
39,Delhi,Delhi,Janakpuri,Independent_House,3,1249,58.82,5040,2014,Semi-Furnished,1,1,11,0,1,2,Open,Yes,"Playground, Gym",North,Owner,Immediate
40,Delhi,Delhi,Greater Kailash,Apartment,3,1237,236.4,19714,2016,Unfurnished,0,3,9,7,0,3,Open,No,"Garden, CCTV",South,Builder,3+ Months
41,Delhi,Delhi,Janakpuri,Apartment,4,2049,107.41,5062,2020,Semi-Furnished,6,11,5,1,0,2,Covered,Yes,Gym,East,Agent,Immediate
42,Delhi,Delhi,Gurgaon MG Road,Apartment,3,1598,149.75,10668,1991,Semi-Furnished,2,3,34,6,0,2,Covered,Yes,"Playground, Community Hall, Power Backup, Pool",South,Owner,1 Month
43,Delhi,Delhi,Gurgaon MG Road,Apartment,4,1288,193.97,13976,2021,Semi-Furnished,0,1,4,4,3,2,Covered,Yes,"Lift, Power Backup, Playground",East,Owner,1 Month
44,Delhi,Delhi,Greater Kailash,Apartment,3,1381,253.1,18881,2006,Semi-Furnished,1,3,19,3,3,1,Open,No,"Garden, Clubhouse",South,Builder,Immediate
45,Delhi,Delhi,Vasant Kunj,Apartment,4,1757,188.63,12180,1996,Unfurnished,2,3,29,2,0,2,Covered,No,"Garden, Playground",North,Agent,Immediate
46,Delhi,Delhi,Pitampura,Independent_House,2,834,44.54,5042,2021,Furnished,0,4,4,1,0,2,Covered,Yes,Pool,East,Agent,Immediate
47,Delhi,Delhi,South Extension,Apartment,3,1455,158.73,12719,1993,Furnished,4,6,32,5,1,1,Covered,Yes,"CCTV, Clubhouse",West,Owner,Immediate
48,Delhi,Delhi,Connaught Place,Apartment,5,2653,544.95,23309,1993,Unfurnished,1,2,32,3,2,2,Covered,Yes,"Clubhouse, Garden, Playground",North,Owner,Immediate
49,Delhi,Delhi,Pitampura,Apartment,3,1327,70.29,5624,2008,Unfurnished,3,3,17,4,1,2,No,No,Clubhouse,West,Owner,Immediate
50,Delhi,Delhi,Rohini,Apartment,2,815,44.41,5918,1993,Furnished,1,5,32,2,2,2,Open,Yes,Gym,West,Owner,1 Month
51,Delhi,Delhi,Mayur Vihar,Apartment,3,1056,56.97,6476,1995,Unfurnished,3,8,30,3,3,2,Covered,Yes,"Pool, Playground",North,Builder,Immediate
52,Delhi,Delhi,Gurgaon MG Road,Apartment,3,1466,162.7,11660,2017,Unfurnished,3,3,8,3,3,2,Covered,Yes,Gym,South,Owner,1 Month
53,Delhi,Delhi,Janakpuri,Builder_Floor,4,1837,130.21,7890,1992,Semi-Furnished,2,4,33,1,5,2,No,Yes,"Community Hall, Pool",West,Owner,Immediate
54,Delhi,Delhi,Greater Kailash,Apartment,4,1906,371.99,21333,1993,Semi-Furnished,4,5,32,4,1,3,Covered,No,"Gym, Pool",South,Builder,Immediate
55,Delhi,Delhi,Saket,Apartment,3,1276,133.41,11306,1997,Semi-Furnished,0,5,28,1,3,3,Covered,No,"Community Hall, Playground",West,Agent,3+ Months
56,Delhi,Delhi,Lajpat Nagar,Apartment,3,1524,156.56,9943,2022,Unfurnished,1,1,3,3,4,2,Open,Yes,"Community Hall, Playground",North,Owner,Immediate
57,Delhi,Delhi,Vasant Kunj,Apartment,5,2464,294.84,13643,1999,Semi-Furnished,7,9,26,2,1,2,Open,Yes,"Lift, Clubhouse",South,Owner,Immediate
58,Delhi,Delhi,Punjabi Bagh,Builder_Floor,1,521,45.32,8772,2014,Semi-Furnished,0,3,11,6,2,3,Covered,No,"Lift, Gym",West,Owner,3+ Months
59,Delhi,Delhi,Saket,Independent_House,2,804,89.71,11151,1999,Furnished,1,3,26,3,5,2,Covered,Yes,"Lift, CCTV",East,Owner,2 Months
60,Delhi,Delhi,Gurgaon MG Road,Apartment,3,1166,171.8,14373,2005,Unfurnished,2,3,20,4,2,2,Covered,Yes,"Gym, Power Backup",South,Owner,3+ Months
61,Delhi,Delhi,Saket,Apartment,4,1963,225.15,12228,2013,Semi-Furnished,1,5,12,4,1,2,Open,Yes,"Garden, Gym, Playground, Clubhouse",South,Owner,Immediate
62,Delhi,Delhi,Lajpat Nagar,Apartment,3,1533,122.08,8814,1990,Unfurnished,3,5,35,3,0,2,Covered,Yes,Lift,East,Owner,Immediate
63,Delhi,Delhi,Lajpat Nagar,Apartment,4,2184,237.65,11051,2014,Unfurnished,1,2,11,4,4,2,Covered,Yes,Playground,North,Agent,1 Month
64,Delhi,Delhi,Janakpuri,Apartment,3,1470,67.01,5935,1993,Unfurnished,3,5,32,3,2,3,Covered,No,"Clubhouse, Community Hall",East,Owner,1 Month
65,Delhi,Delhi,Pitampura,Apartment,4,1475,93.51,7394,1992,Semi-Furnished,3,3,33,2,3,2,Open,Yes,"Playground, Lift",West,Owner,Immediate
66,Delhi,Delhi,Karol Bagh,Apartment,5,2655,211.62,8107,2007,Unfurnished,4,7,18,4,1,3,Covered,No,"Gym, Power Backup",North,Owner,3+ Months
67,Delhi,Delhi,Connaught Place,Villa,3,1210,308.74,23581,2013,Furnished,3,3,12,0,2,2,Covered,Yes,"Playground, CCTV, Power Backup",East,Owner,Immediate
68,Delhi,Delhi,Saket,Apartment,4,1225,115.33,9987,2004,Unfurnished,3,8,21,3,1,2,Covered,Yes,"Pool, Playground, Clubhouse",North,Owner,2 Months
69,Delhi,Delhi,Rohini,Apartment,3,1243,92.19,7209,2024,Semi-Furnished,1,4,1,3,1,2,Open,No,"Playground, Pool",East,Owner,Immediate
70,Delhi,Delhi,Lajpat Nagar,Villa,2,952,113.55,11680,2013,Unfurnished,2,2,12,8,1,2,Covered,Yes,Power Backup,North,Owner,1 Month
71,Delhi,Delhi,Vasant Kunj,Builder_Floor,1,399,49.01,13156,2005,Unfurnished,0,1,20,4,2,3,Open,Yes,"Clubhouse, Lift",South,Builder,Immediate
72,Delhi,Delhi,Janakpuri,Villa,5,3008,267.3,7987,2024,Semi-Furnished,2,2,1,3,3,2,Covered,Yes,"Clubhouse, Lift",North,Owner,Immediate
73,Delhi,Delhi,Punjabi Bagh,Builder_Floor,3,1088,79.35,7236,2020,Semi-Furnished,2,6,5,2,6,2,Covered,Yes,Pool,East,Owner,3+ Months
74,Delhi,Delhi,Saket,Apartment,3,951,94.11,9587,1996,Semi-Furnished,3,3,29,1,1,3,Covered,Yes,"Garden, Playground, Power Backup",East,Owner,Immediate
75,Delhi,Delhi,Janakpuri,Apartment,3,1730,112.04,7040,1997,Unfurnished,5,9,28,4,2,2,Covered,Yes,"Clubhouse, CCTV, Garden",West,Owner,1 Month
76,Delhi,Delhi,Janakpuri,Apartment,2,886,39.5,5186,1999,Unfurnished,1,1,26,5,1,1,Covered,Yes,Lift,South,Owner,Immediate
77,Delhi,Delhi,Karol Bagh,Apartment,2,848,87.45,10005,2012,Unfurnished,1,6,13,3,2,1,Covered,Yes,Gym,South,Owner,Immediate
78,Delhi,Delhi,Connaught Place,Apartment,2,835,136.17,18960,1997,Unfurnished,2,3,28,3,5,3,Open,No,"Community Hall, Pool, Playground",East,Owner,Immediate
79,Delhi,Delhi,Punjabi Bagh,Apartment,4,1738,163.51,10726,2001,Unfurnished,4,9,24,1,4,2,Covered,No,Pool,North,Builder,Immediate
80,Delhi,Delhi,Noida Sec 18,Apartment,2,966,57.28,6021,2010,Unfurnished,0,1,15,3,3,1,Open,Yes,"Gym, Playground",West,Owner,Immediate
81,Delhi,Delhi,Noida Sec 18,Builder_Floor,2,787,35.43,4630,1997,Semi-Furnished,0,2,28,1,2,2,Open,Yes,"Playground, Pool",South,Owner,Immediate
82,Delhi,Delhi,Saket,Apartment,2,930,85.36,10449,1998,Unfurnished,2,4,27,4,1,1,Covered,Yes,"Garden, CCTV, Playground, Lift",South,Owner,2 Months
83,Delhi,Delhi,South Extension,Independent_House,1,473,46.9,11271,1992,Semi-Furnished,1,1,33,3,1,3,Open,Yes,CCTV,East,Owner,Immediate
84,Delhi,Delhi,Janakpuri,Apartment,4,1539,96.92,5963,2013,Furnished,0,1,12,3,4,2,Covered,Yes,Playground,East,Owner,1 Month
85,Delhi,Delhi,Dwarka,Apartment,3,1279,62.64,5384,2002,Unfurnished,2,4,23,0,4,2,Open,No,"Clubhouse, Gym",South,Owner,Immediate
86,Delhi,Delhi,Rohini,Apartment,4,2330,189.18,6914,2021,Semi-Furnished,7,12,4,3,2,3,Open,No,"Lift, Community Hall",South,Owner,Immediate
87,Delhi,Delhi,Vasant Kunj,Apartment,4,1314,168.22,13681,2012,Unfurnished,2,5,13,2,1,2,Covered,No,"Gym, Community Hall",West,Owner,Immediate
88,Delhi,Delhi,South Extension,Apartment,4,1849,210.94,11983,2002,Semi-Furnished,3,7,23,1,1,1,Covered,Yes,"Lift, Gym",South,Owner,1 Month
89,Delhi,Delhi,Other,Apartment,3,1506,63.62,4346,2013,Semi-Furnished,2,5,12,7,5,2,Covered,Yes,"Lift, Gym, Garden",North,Owner,Immediate
90,Delhi,Delhi,Lajpat Nagar,Villa,4,1831,164.81,10410,1999,Semi-Furnished,4,9,26,2,2,1,Covered,No,CCTV,South,Owner,3+ Months
91,Delhi,Delhi,Janakpuri,Builder_Floor,2,753,43.6,6256,1998,Unfurnished,2,7,27,3,4,3,Covered,No,"Community Hall, Lift, Pool, Garden",East,Owner,Immediate
92,Delhi,Delhi,Mayur Vihar,Apartment,3,1330,68.45,5230,1998,Furnished,2,2,27,3,0,2,Open,No,Community Hall,North,Owner,2 Months
93,Delhi,Delhi,Vasant Kunj,Apartment,3,1357,137.52,10762,2001,Unfurnished,4,5,24,0,0,2,Covered,Yes,"Clubhouse, Power Backup",East,Builder,1 Month
94,Delhi,Delhi,Lajpat Nagar,Villa,2,892,81.59,8569,2020,Unfurnished,0,2,5,0,1,2,Open,Yes,"Playground, CCTV, Community Hall, Power Backup",West,Agent,2 Months
95,Delhi,Delhi,South Extension,Apartment,2,1021,135.07,12098,2020,Unfurnished,0,5,5,2,3,3,Open,Yes,"Garden, Playground",West,Agent,Immediate
96,Delhi,Delhi,Noida Sec 18,Apartment,4,1755,106.5,6480,2018,Unfurnished,0,3,7,4,1,1,Open,Yes,Gym,East,Owner,Immediate
97,Delhi,Delhi,Dwarka,Apartment,3,1152,73.25,6746,1999,Furnished,2,5,26,0,4,2,Covered,No,Power Backup,North,Agent,Immediate
98,Delhi,Delhi,Lajpat Nagar,Independent_House,2,1094,116.69,9701,2023,Semi-Furnished,2,3,2,1,2,2,Covered,Yes,"Power Backup, Gym",North,Agent,Immediate
99,Delhi,Delhi,Karol Bagh,Apartment,3,1685,119.35,7337,1999,Semi-Furnished,0,4,26,4,1,2,Open,Yes,Gym,East,Owner,Immediate
100,Delhi,Delhi,Gurgaon MG Road,Apartment,5,2493,270.87,11720,2014,Unfurnished,0,5,11,1,2,2,Covered,No,"Lift, Gym",East,Owner,1 Month
101,Delhi,Delhi,Dwarka,Builder_Floor,3,1454,69.66,4589,1998,Furnished,4,6,27,1,0,3,Covered,No,"Power Backup, Community Hall",South,Agent,Immediate
102,Delhi,Delhi,Punjabi Bagh,Apartment,3,1355,100.08,8287,1992,Unfurnished,0,2,33,7,2,3,Open,No,Community Hall,West,Owner,1 Month
103,Delhi,Delhi,Rohini,Builder_Floor,2,867,65.99,7134,2011,Semi-Furnished,1,4,14,5,0,3,Open,No,CCTV,East,Agent,Immediate
104,Delhi,Delhi,Gurgaon MG Road,Apartment,4,1368,123.09,10082,1995,Unfurnished,0,3,30,3,0,2,Open,Yes,Lift,North,Owner,1 Month
105,Delhi,Delhi,Janakpuri,Apartment,3,1476,81.62,5158,2018,Semi-Furnished,0,5,7,6,0,3,Covered,No,"Playground, Pool",North,Owner,Immediate
106,Delhi,Delhi,Gurgaon MG Road,Apartment,3,1555,178.75,11979,1991,Furnished,4,9,34,4,3,3,Covered,Yes,"Lift, Community Hall, Clubhouse",North,Owner,1 Month
107,Delhi,Delhi,Mayur Vihar,Builder_Floor,2,958,44.54,5052,1998,Unfurnished,3,5,27,3,1,2,Covered,Yes,"Garden, Power Backup, Playground, Clubhouse",North,Owner,Immediate
108,Delhi,Delhi,Noida Sec 18,Apartment,5,2126,151.08,6546,2021,Semi-Furnished,2,2,4,3,2,2,Open,Yes,"Gym, Lift",East,Builder,Immediate
109,Delhi,Delhi,Janakpuri,Apartment,2,1136,63.33,6280,2001,Unfurnished,1,1,24,3,2,3,Open,Yes,"Power Backup, Pool, Garden",East,Owner,3+ Months
110,Delhi,Delhi,Dwarka,Apartment,4,2186,123.32,5890,2015,Unfurnished,7,11,10,2,1,2,Covered,Yes,"Garden, Lift",North,Owner,1 Month
111,Delhi,Delhi,Greater Kailash,Builder_Floor,4,1816,275.76,17178,2001,Unfurnished,1,4,24,0,3,2,Open,No,"Community Hall, Garden, Power Backup, Gym",South,Owner,1 Month
112,Delhi,Delhi,Greater Kailash,Independent_House,4,1874,285.32,17342,1995,Semi-Furnished,5,9,30,2,1,2,Open,No,Gym,South,Owner,Immediate
113,Delhi,Delhi,Rohini,Independent_House,3,1343,80.76,6364,2011,Unfurnished,4,4,14,3,6,3,Covered,Yes,,East,Owner,1 Month
114,Delhi,Delhi,Noida Sec 18,Apartment,3,1370,86.19,5810,2024,Semi-Furnished,2,5,1,3,2,1,Open,Yes,"Power Backup, Gym, Lift, Pool",South,Owner,Immediate
115,Delhi,Delhi,Lajpat Nagar,Apartment,3,1259,117.46,10632,2010,Unfurnished,2,5,15,4,4,1,Covered,Yes,Lift,South,Owner,Immediate
116,Delhi,Delhi,Lajpat Nagar,Apartment,1,569,67.48,11136,2014,Unfurnished,1,2,11,3,1,3,No,No,"Lift, Clubhouse",South,Owner,Immediate
117,Delhi,Delhi,Gurgaon MG Road,Apartment,2,900,101.05,11889,2015,Unfurnished,1,2,10,5,1,2,Covered,Yes,Power Backup,East,Owner,2 Months
118,Delhi,Delhi,Noida Sec 18,Builder_Floor,4,1684,117.44,6890,2015,Semi-Furnished,3,3,10,3,1,2,Covered,Yes,"Gym, CCTV",West,Builder,Immediate
119,Delhi,Delhi,Other,Apartment,3,1110,38.04,3714,1996,Semi-Furnished,2,6,29,2,4,3,Open,Yes,"Community Hall, CCTV",North,Owner,Immediate
120,Delhi,Delhi,Greater Kailash,Apartment,3,1225,241.86,18787,2022,Furnished,4,6,3,3,2,1,No,No,"Playground, Lift, Community Hall",West,Builder,Immediate
121,Delhi,Delhi,South Extension,Apartment,2,837,103.09,12845,2016,Unfurnished,2,7,9,6,4,2,Open,Yes,Clubhouse,North,Owner,Immediate
122,Delhi,Delhi,Vasant Kunj,Builder_Floor,3,1439,220.0,16674,1999,Unfurnished,1,1,26,5,1,2,Open,Yes,"Power Backup, Lift, Clubhouse",South,Owner,Immediate
123,Delhi,Delhi,Gurgaon MG Road,Apartment,3,1306,104.85,9661,1993,Unfurnished,4,5,32,3,3,2,No,Yes,"CCTV, Lift",South,Owner,Immediate
124,Delhi,Delhi,Karol Bagh,Independent_House,3,1001,96.75,10238,2006,Unfurnished,1,2,19,1,3,2,Covered,No,"Playground, Community Hall, Lift, Gym",West,Owner,Immediate
125,Delhi,Delhi,Mayur Vihar,Apartment,4,1562,88.7,6264,1997,Unfurnished,4,7,28,1,1,3,Covered,Yes,"Garden, Playground, Pool",East,Agent,Immediate
126,Delhi,Delhi,Mayur Vihar,Builder_Floor,3,1057,62.18,6235,2003,Semi-Furnished,2,6,22,3,5,2,Covered,No,Clubhouse,South,Owner,3+ Months
127,Delhi,Delhi,Lajpat Nagar,Apartment,2,1041,102.42,9868,2011,Unfurnished,0,5,14,2,1,3,Covered,Yes,"Garden, CCTV",West,Owner,Immediate
128,Delhi,Delhi,Mayur Vihar,Apartment,2,941,38.85,4736,1995,Unfurnished,1,5,30,2,3,2,Open,Yes,Garden,West,Agent,Immediate
129,Delhi,Delhi,Mayur Vihar,Apartment,5,2540,136.36,5299,2021,Furnished,4,4,4,2,1,1,Open,Yes,"Lift, Playground",West,Agent,Immediate
130,Delhi,Delhi,Gurgaon MG Road,Independent_House,4,1909,265.92,14299,2019,Semi-Furnished,6,6,6,3,3,2,Open,No,"Garden, Pool",East,Builder,Immediate
131,Delhi,Delhi,Punjabi Bagh,Independent_House,2,999,81.17,8452,2015,Unfurnished,2,2,10,4,1,2,Covered,No,"Power Backup, Lift",South,Owner,Immediate
132,Delhi,Delhi,Noida Sec 18,Apartment,2,899,35.32,4765,1990,Semi-Furnished,1,6,35,4,2,1,Open,Yes,"Garden, CCTV",East,Owner,1 Month
133,Delhi,Delhi,Mayur Vihar,Apartment,2,954,63.65,7029,1998,Semi-Furnished,3,8,27,3,0,3,Covered,No,"Power Backup, Clubhouse",South,Owner,Immediate
134,Delhi,Delhi,South Extension,Apartment,3,1099,187.79,16179,2013,Furnished,0,1,12,3,1,3,No,Yes,"Community Hall, Garden, Gym",East,Agent,Immediate
135,Delhi,Delhi,Pitampura,Apartment,3,1212,73.38,5982,2022,Semi-Furnished,0,3,3,1,0,1,Covered,Yes,"Community Hall, Power Backup",East,Builder,Immediate
136,Delhi,Delhi,South Extension,Apartment,3,1186,143.22,12638,1992,Semi-Furnished,0,4,33,2,1,3,No,Yes,"Power Backup, Pool, Garden",West,Owner,Immediate
137,Delhi,Delhi,Vasant Kunj,Villa,3,1086,185.44,17870,2013,Unfurnished,3,6,12,5,2,3,No,Yes,Community Hall,South,Owner,Immediate
138,Delhi,Delhi,Rohini,Apartment,3,1361,74.26,6446,2004,Unfurnished,0,2,21,4,0,2,Open,Yes,,West,Agent,Immediate
139,Delhi,Delhi,Greater Kailash,Independent_House,2,711,112.09,16798,1997,Furnished,2,5,28,1,3,2,No,No,"Clubhouse, Community Hall",North,Owner,Immediate
140,Delhi,Delhi,Vasant Kunj,Apartment,3,1460,226.07,16697,1992,Semi-Furnished,1,5,33,6,1,1,Open,Yes,"Community Hall, Playground, Gym, Lift",East,Owner,1 Month
141,Delhi,Delhi,South Extension,Independent_House,2,797,105.6,13849,2023,Semi-Furnished,1,3,2,4,2,1,No,No,,South,Owner,Immediate
142,Delhi,Delhi,Gurgaon MG Road,Independent_House,5,2868,368.68,12506,2014,Unfurnished,5,10,11,1,3,2,Covered,Yes,"Community Hall, Power Backup",South,Agent,Immediate
143,Delhi,Delhi,Pitampura,Independent_House,4,1567,109.08,7587,2016,Unfurnished,4,8,9,2,1,1,Covered,Yes,"Gym, Power Backup",East,Owner,1 Month
144,Delhi,Delhi,Rohini,Apartment,2,926,45.2,5359,1992,Unfurnished,1,5,33,2,0,2,Open,Yes,"Lift, Playground",North,Owner,Immediate
145,Delhi,Delhi,Punjabi Bagh,Builder_Floor,3,1450,100.12,7377,2005,Unfurnished,1,4,20,1,1,3,Open,No,"CCTV, Power Backup",East,Owner,Immediate
146,Delhi,Delhi,Connaught Place,Builder_Floor,3,1429,347.01,23551,2020,Unfurnished,2,3,5,2,2,2,Covered,Yes,"Clubhouse, Garden",North,Owner,3+ Months
147,Delhi,Delhi,Karol Bagh,Apartment,3,1349,125.2,9837,2011,Semi-Furnished,4,5,14,2,4,2,Open,No,"Playground, Power Backup",West,Owner,1 Month
148,Delhi,Delhi,Greater Kailash,Apartment,2,965,102.59,12301,2001,Unfurnished,0,4,24,4,2,1,Open,No,Pool,North,Owner,2 Months
149,Delhi,Delhi,Lajpat Nagar,Apartment,3,1297,112.39,8282,2022,Semi-Furnished,0,4,3,2,3,2,No,No,Power Backup,North,Owner,Immediate
150,Delhi,Delhi,Saket,Apartment,3,1166,120.58,10304,2008,Furnished,3,4,17,3,3,1,Covered,Yes,"Clubhouse, Playground",East,Owner,Immediate
151,Delhi,Delhi,Greater Kailash,Apartment,3,1418,217.79,15081,2004,Semi-Furnished,0,5,21,4,3,3,Open,Yes,"CCTV, Community Hall, Clubhouse",West,Owner,Immediate
152,Delhi,Delhi,Rohini,Apartment,3,1475,93.48,6778,2011,Unfurnished,0,4,14,3,3,3,Covered,No,Power Backup,East,Owner,Immediate
153,Delhi,Delhi,Mayur Vihar,Apartment,4,1839,88.18,5440,1992,Furnished,6,8,33,2,3,1,Covered,Yes,"CCTV, Gym",East,Owner,Immediate
154,Delhi,Delhi,South Extension,Independent_House,2,989,139.18,15155,2011,Semi-Furnished,1,6,14,2,3,2,Open,No,"Pool, Gym, Clubhouse",South,Agent,Immediate
155,Delhi,Delhi,Punjabi Bagh,Apartment,5,2284,183.48,8373,2010,Furnished,4,7,15,1,5,2,Covered,No,"CCTV, Garden",West,Owner,1 Month
156,Delhi,Delhi,South Extension,Apartment,3,1340,156.8,12733,1999,Semi-Furnished,1,6,26,7,5,2,Covered,Yes,Playground,West,Owner,Immediate
